1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.592934	0.000000	67.674386	0.011266	584.8
1	-0.627535	0.000000	67.674386	0.014948	0.9
2	-0.621934	1.000000	64.598278	0.013116	0.9
3	-0.606637	0.556132	65.928438	0.014195	1.2
4	-0.581715	1.556132	63.005577	0.013649	0.9
5	-0.572441	2.164721	61.350279	0.019472	1.0
6	-0.586058	3.164721	58.811443	0.014202	1.1
7	-0.587955	4.164721	56.474384	0.014888	1.9
8	-0.620827	5.164721	54.315966	0.022716	0.8
9	-0.604669	6.162672	52.320409	0.015636	1.7
10	-0.614496	7.162672	50.462616	0.008259	1.0
11	-0.570060	6.718804	51.270686	0.012278	0.8
12	-0.592831	6.274939	52.105052	0.016189	0.8
13	-0.647974	7.274939	50.262252	0.013687	1.3
14	-0.601922	8.274939	48.545348	0.015987	1.1
15	-0.632400	9.274939	46.941865	0.013207	0.8
16	-0.611464	10.274939	45.440924	0.018167	1.0
17	-0.628864	11.274939	44.032992	0.020456	0.9
18	-0.617871	10.831071	44.647009	0.015325	1.2
19	-0.592961	11.831071	43.287108	0.014680	1.0
20	-0.626539	11.387203	43.880359	0.015457	1.1
21	-0.622797	12.005136	43.058818	0.013735	0.8
22	-0.602548	13.005136	41.792573	0.013290	1.5
23	-0.620158	14.005007	40.598823	0.012528	0.9
24	-0.584145	15.005007	39.471235	0.014494	0.8
25	-0.642168	16.005007	38.404589	0.011760	1.1
26	-0.648602	15.561253	38.870717	0.015201	0.9
27	-0.660975	16.561252	37.835855	0.016457	0.9
28	-0.604555	17.561251	36.854668	0.011477	1.0
29	-0.611891	17.970354	36.467775	0.010065	1.0
30	-0.608833	17.534856	36.879912	0.013529	0.9
31	-0.623802	18.534853	35.947070	0.011060	1.2
32	-0.624260	19.534853	35.060251	0.011689	0.8
33	-0.614069	20.280396	34.427047	0.011975	0.9
34	-0.601052	19.841859	34.796705	0.009688	1.0
35	-0.603528	20.841854	33.965085	0.011224	0.9
36	-0.618112	20.398055	34.329200	0.015481	1.1
37	-0.638892	21.397981	33.519570	0.016368	0.9
38	-0.625708	22.397981	32.747194	0.010648	1.0
39	-0.601821	21.954113	33.085588	0.014696	0.9
40	-0.633523	22.954113	32.332858	0.011550	1.1
41	-0.601875	23.954113	31.613617	0.008751	1.0
42	-0.631692	23.708285	31.787444	0.012900	1.0
43	-0.576665	23.264417	32.106197	0.010825	1.0
44	-0.597814	22.820552	32.431406	0.010556	0.9
45	-0.630768	23.116678	32.213716	0.014284	1.0
46	-0.599273	24.116393	31.499905	0.015979	0.9
47	-0.639571	25.116393	30.816853	0.012289	1.0
48	-0.611672	24.672615	31.116285	0.009438	0.8
49	-0.607976	25.664396	30.454955	0.012388	1.2
50	-0.629396	26.664396	29.816010	0.008922	0.9
51	-0.612944	26.220600	30.096232	0.013478	0.9
52	-0.602939	27.150013	29.515301	0.020228	1.3
53	-0.589827	26.706145	29.789917	0.013850	0.8
54	-0.611269	26.262277	30.069692	0.015511	0.9
55	-0.588649	26.659293	29.819203	0.017518	1.2
56	-0.604762	26.215425	30.099530	0.010314	0.9
57	-0.605089	27.215425	29.475259	0.012770	0.8
58	-0.618622	28.204181	28.882954	0.011893	1.2
59	-0.637412	27.761589	29.145115	0.020458	0.8
60	-0.615375	28.761588	28.559421	0.017161	1.2
61	-0.621369	29.761588	27.996802	0.012686	1.2
62	-0.619415	30.761588	27.455922	0.017433	0.8
63	-0.619719	30.317720	27.693399	0.013609	1.6
64	-0.608872	31.317720	27.164068	0.011607	0.9
65	-0.617721	32.317720	26.654593	0.016361	0.8
66	-0.605781	33.317720	26.163876	0.015013	1.1
67	-0.634793	34.317720	25.690902	0.009699	0.9
68	-0.605757	33.875985	25.897706	0.011918	0.8
69	-0.608230	33.434006	26.107983	0.019098	1.1
70	-0.624387	34.434003	25.637010	0.010435	0.8
71	-0.609113	35.433948	25.182752	0.016100	1.0
72	-0.617501	34.990080	25.382391	0.009655	1.3
73	-0.626242	35.990080	24.937009	0.017543	0.9
74	-0.606760	36.990079	24.506987	0.018764	1.6
75	-0.643001	36.546212	24.696015	0.014309	1.0
76	-0.580137	37.546212	24.274194	0.017509	0.8
77	-0.603532	38.546212	23.866541	0.009488	1.7
78	-0.602711	39.546212	23.472354	0.009357	0.9
79	-0.610148	39.102382	23.645687	0.012873	1.0
80	-0.552800	40.102381	23.258703	0.009781	1.1
81	-0.620984	41.102381	22.884181	0.012559	1.0
82	-0.612789	42.099900	22.522415	0.014410	0.8
83	-0.601437	43.099900	22.171050	0.007011	1.3
84	-0.618248	44.099900	21.830481	0.014925	0.9
85	-0.599803	45.093746	21.502218	0.017753	1.1
86	-0.628403	46.093746	21.181738	0.011351	1.0
87	-0.624640	47.093746	20.870670	0.011354	0.8
88	-0.590386	46.649878	21.007608	0.011035	1.4
89	-0.620273	46.206010	21.146355	0.012598	0.8
90	-0.609861	47.204263	20.836852	0.011939	1.3
91	-0.622822	48.200617	20.536842	0.016489	0.8
92	-0.632815	47.756750	20.669420	0.011027	1.0
93	-0.613258	47.340093	20.795437	0.013386	1.0
94	-0.592746	46.896225	20.931386	0.014850	1.1
95	-0.593621	47.896225	20.627576	0.012585	1.1
96	-0.603734	47.452357	20.761332	0.011874	0.9
97	-0.587820	47.008489	20.896834	0.011500	1.0
98	-0.632429	48.008381	20.594051	0.010500	1.0
99	-0.610772	48.281631	20.512827	0.012478	0.9
100	-0.599173	49.281631	20.220961	0.010167	1.0
101	-0.615787	48.839174	20.349068	0.012272	0.9
102	-0.631523	49.836489	20.062571	0.016761	1.0
103	-0.594300	49.411268	20.183731	0.018936	1.0
104	-0.620142	50.411268	19.901091	0.015081	0.9
105	-0.627193	51.411268	19.626256	0.017781	1.0
106	-0.628893	52.411261	19.358912	0.010645	0.9
107	-0.620647	53.411261	19.098751	0.017342	1.1
108	-0.596109	54.411261	18.845489	0.010769	0.9
109	-0.633480	55.411261	18.598857	0.008080	0.9
110	-0.617104	56.322515	18.379668	0.012235	0.9
111	-0.607762	57.322106	18.145096	0.022860	0.8
112	-0.603947	56.878239	18.248514	0.014407	1.3
113	-0.629497	56.434371	18.353118	0.015137	0.9
114	-0.613722	57.434371	18.119124	0.009274	1.1
115	-0.609364	58.128744	17.960125	0.013543	0.9
116	-0.629302	59.128744	17.735984	0.013361	1.2
117	-0.597468	58.685216	17.834703	0.010274	1.0
118	-0.611921	58.241348	17.934603	0.016780	0.8
119	-0.590602	59.241348	17.711095	0.013576	1.0
120	-0.622532	60.231751	17.495155	0.015217	1.0
121	-0.592960	59.787883	17.591278	0.009755	0.9
122	-0.618543	60.787883	17.376194	0.014114	1.1
123	-0.606327	61.779144	17.168118	0.020349	0.9
124	-0.617753	62.779144	16.963197	0.012214	0.8
125	-0.621683	62.335276	17.053548	0.012572	0.9
126	-0.637166	63.335251	16.851341	0.018541	1.2
127	-0.603799	62.891383	16.940502	0.010939	1.8
128	-0.614791	62.448691	17.030370	0.014250	1.2
129	-0.594388	63.448691	16.828705	0.012789	0.8
130	-0.618404	63.121194	16.894222	0.019585	1.0
131	-0.626936	64.121191	16.695750	0.013130	1.4
132	-0.622923	63.677323	16.783267	0.011001	0.8
133	-0.594463	64.677323	16.587378	0.011309	0.8
134	-0.600922	64.233592	16.673733	0.012846	2.3
135	-0.612949	65.191689	16.488389	0.013618	1.0
136	-0.624428	66.191688	16.299284	0.009709	0.8
137	-0.616769	67.191688	16.114468	0.012918	1.7
138	-0.614643	66.747821	16.195982	0.009501	0.9
139	-0.595638	67.747821	16.013487	0.017280	1.0
140	-0.599002	68.747821	15.835060	0.011982	0.9
141	-0.599760	69.747821	15.660565	0.017138	1.1
142	-0.618150	70.747821	15.489873	0.013243	2.1
143	-0.612592	71.747821	15.322863	0.011421	1.0
144	-0.643095	72.747631	15.159446	0.009500	1.1
145	-0.600611	73.747588	14.999454	0.012253	1.2
146	-0.625626	74.580935	14.868678	0.024784	1.0
147	-0.593858	75.580935	14.714727	0.012903	1.7
148	-0.601392	76.580935	14.563932	0.008260	1.0
149	-0.596540	76.137067	14.630482	0.010011	1.0
150	-0.617784	77.134672	14.481753	0.011144	1.0
151	-0.606407	76.690856	14.547545	0.009755	1.1
152	-0.612123	76.385099	14.593219	0.018843	1.0
153	-0.631086	77.385099	14.444892	0.016772	1.1
154	-0.618538	78.385056	14.299555	0.012198	1.0
155	-0.635943	78.497769	14.283357	0.011049	0.9
156	-0.601230	79.497332	14.141292	0.010401	2.6
157	-0.617196	79.053741	14.203988	0.019993	0.8
158	-0.618220	80.048316	14.064184	0.010330	1.6
159	-0.601078	81.048316	13.926365	0.012947	0.8
160	-0.625138	82.048316	13.791221	0.008467	1.2
161	-0.581979	83.048316	13.658675	0.018416	0.8
162	-0.629589	84.048315	13.528652	0.015526	1.0
163	-0.613444	83.604448	13.586058	0.016155	0.9
164	-0.617799	83.160580	13.643954	0.017031	1.0
165	-0.627975	82.716712	13.702344	0.014433	0.9
166	-0.615116	82.272844	13.761237	0.014077	1.2
167	-0.634065	83.272844	13.629264	0.010594	1.2
168	-0.661731	82.828976	13.687529	0.012470	0.8
169	-0.579647	83.828674	13.556998	0.016496	1.4
170	-0.617717	83.384807	13.614645	0.011615	0.9
171	-0.628119	83.190454	13.640041	0.015245	1.8
172	-0.618802	82.746586	13.698399	0.011342	0.9
173	-0.620317	83.746586	13.567622	0.010028	1.6
174	-0.607263	83.322721	13.622748	0.020498	0.9
175	-0.614212	84.322654	13.493413	0.011715	1.1
176	-0.612924	83.878786	13.550520	0.016573	1.0
177	-0.630302	84.878786	13.422539	0.010604	1.1
178	-0.583744	84.434918	13.479046	0.018375	0.8
179	-0.599936	85.434918	13.352405	0.022905	0.8
180	-0.647028	86.434918	13.228121	0.018717	1.7
181	-0.591212	87.434918	13.106130	0.016052	0.8
182	-0.629759	88.434918	12.986368	0.009094	1.2
183	-0.611244	89.434918	12.868775	0.012149	1.1
184	-0.633389	88.991051	12.920707	0.010990	0.8
185	-0.601138	89.990810	12.804322	0.013776	0.8
186	-0.614884	89.547119	12.855714	0.017114	2.1
187	-0.634207	90.547119	12.740465	0.015314	0.9
188	-0.609729	91.547119	12.627263	0.015074	1.0
189	-0.613824	91.103683	12.677212	0.022282	0.9
190	-0.612296	90.659815	12.727606	0.011883	1.1
191	-0.622790	91.659815	12.614632	0.015114	1.0
192	-0.629615	91.215947	12.664529	0.010376	0.8
193	-0.608258	90.772079	12.714822	0.009446	1.2
194	-0.623456	90.328558	12.765477	0.011683	1.0
195	-0.634306	89.884690	12.816577	0.012413	0.8
196	-0.630480	90.884690	12.702025	0.015049	1.5
197	-0.609457	90.440822	12.752617	0.007409	1.0
198	-0.596762	91.440822	12.639201	0.010607	0.8
199	-0.604876	92.440822	12.527784	0.010176	1.1
200	-0.584587	91.996955	12.576995	0.011905	1.0
201	-0.620715	91.553087	12.626594	0.014495	0.9
202	-0.636017	92.553087	12.515398	0.017677	1.0
203	-0.654508	92.109220	12.564512	0.015195	0.9
204	-0.610107	93.109220	12.454402	0.015406	1.2
205	-0.620185	93.729635	12.387053	0.021840	1.0
206	-0.580275	94.729635	12.280019	0.007252	0.9
207	-0.621742	94.285767	12.327299	0.006824	1.1
208	-0.610396	95.285724	12.221295	0.013132	1.2
209	-0.626521	94.861638	12.266028	0.013038	0.8
210	-0.627009	94.419635	12.313001	0.017268	1.0
211	-0.610529	93.975767	12.360536	0.022756	0.9
212	-0.623696	94.975767	12.253957	0.012964	1.0
213	-0.607398	95.975767	12.149201	0.010597	0.9
214	-0.607440	95.531900	12.195477	0.011589	1.0
215	-0.600595	96.443932	12.100771	0.008368	1.0
216	-0.586280	96.000101	12.146674	0.011580	0.9
217	-0.632333	97.000097	12.043737	0.012778	1.1
218	-0.617839	98.000097	11.942529	0.011265	0.9
219	-0.629858	99.000097	11.843008	0.012147	1.6
220	-0.613544	98.556229	11.886977	0.016124	1.1
221	-0.597090	98.112361	11.931273	0.011717	0.8
222	-0.601653	98.184208	11.924081	0.014219	0.8
223	-0.639651	99.184208	11.824866	0.019526	1.8
224	-0.610437	100.184166	11.727292	0.012261	0.8
225	-0.584215	101.184166	11.631312	0.017309	0.9
226	-0.597512	100.740298	11.673720	0.015722	2.1
227	-0.642074	101.740298	11.578611	0.012323	0.9
228	-0.631370	101.296430	11.620634	0.022192	1.2
229	-0.600587	102.296430	11.526385	0.013059	0.9
230	-0.640485	103.296430	11.433652	0.017420	0.9
231	-0.623841	104.226678	11.348717	0.013056	1.2
232	-0.625210	103.782810	11.389086	0.008404	0.9
233	-0.605454	104.586714	11.316182	0.013316	0.8
234	-0.596702	104.142846	11.356319	0.009128	1.1
235	-0.633730	105.142846	11.266292	0.015202	1.0
236	-0.627099	104.699571	11.306022	0.009606	0.8
237	-0.632986	104.255768	11.346081	0.008666	1.2
238	-0.594667	103.811913	11.386430	0.010043	0.8
239	-0.590981	104.811913	11.295926	0.008036	1.0
240	-0.602982	105.733537	11.213781	0.010646	1.3
241	-0.598275	105.291462	11.253034	0.012267	0.8
242	-0.627098	104.847594	11.292724	0.017385	1.0
243	-0.605702	105.847594	11.203698	0.009428	0.9
244	-0.609166	105.403883	11.243026	0.013435	1.1
245	-0.592510	106.403883	11.154779	0.012014	1.0
246	-0.638117	107.402534	11.068022	0.018440	0.9
247	-0.633220	108.402508	10.982493	0.016916	1.0
248	-0.622172	107.983508	11.018169	0.008760	0.9
249	-0.605152	108.983122	10.933436	0.013052	1.3
250	-0.615741	108.539254	10.970899	0.012663	1.0
251	-0.608966	109.539254	10.886856	0.009998	0.8
252	-0.630295	109.097704	10.923806	0.012193	1.0
253	-0.597490	110.094544	10.840742	0.013305	0.9
