1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
144	-0.611464	368.553338	0.010045	2.2
145	-0.903788	367.653696	0.027899	2.6
146	-0.306878	366.759885	0.002418	2.2
147	-0.490272	365.871846	0.017523	3.6
148	-0.884793	364.989518	0.007012	3.0
149	-0.236306	364.112841	0.010672	2.2
150	0.000000	363.241757	0.000000	3.0
151	-0.843257	362.376208	0.023235	2.6
152	-0.342735	361.516137	0.003803	1.9
153	-0.000746	360.661488	0.000133	2.9
154	-0.000000	359.812206	0.000000	1.7
155	-0.005113	358.968236	0.000198	3.1
156	-0.261614	358.129524	0.007639	2.3
157	-0.810956	357.296018	0.009197	1.9
158	-0.805477	356.467665	0.010302	4.2
159	-0.597563	355.644414	0.005124	2.1
160	-0.586248	354.826213	0.013074	2.5
161	-0.516197	354.013012	0.013065	3.0
162	-0.771176	353.204763	0.026217	2.2
163	-0.790366	352.401415	0.035649	2.0
164	0.000000	351.602922	0.000000	2.2
165	-0.524123	350.809235	0.006990	2.5
166	-0.421074	350.020308	0.012061	3.5
167	-0.439927	349.236095	0.006744	3.8
168	-0.000000	348.456550	0.000000	2.7
169	-0.934039	347.681627	0.028092	3.8
170	-0.476293	346.911283	0.017700	3.4
171	-0.979078	346.145474	0.027052	2.1
172	-0.490795	345.384157	0.005958	2.1
173	0.000000	344.627288	0.000000	3.2
174	-0.346177	343.874826	0.005111	3.1
175	-0.891912	343.126729	0.016215	3.2
176	-0.495730	342.382957	0.010344	3.3
177	-0.799728	341.643469	0.022743	3.1
178	0.000000	340.908224	0.000000	2.1
179	-0.932591	340.177184	0.029765	3.5
180	-0.805090	339.450309	0.010077	3.3
181	-0.797381	338.727561	0.029603	3.7
182	-0.275899	338.008902	0.005192	3.0
183	-0.000000	337.294295	0.000000	1.9
184	-0.669806	336.583703	0.025560	3.7
185	-0.000000	335.877089	0.000000	2.9
186	-0.665822	335.174416	0.023285	1.8
187	-0.393411	334.475651	0.016418	3.1
188	-0.075872	333.780756	0.000471	2.0
189	-0.324373	333.089698	0.005170	2.1
190	0.000000	332.402443	0.000000	2.6
191	-0.616659	331.718955	0.008089	1.9
192	-0.529470	331.039203	0.006392	2.5
193	-0.000000	330.363153	0.000000	3.2
194	-0.671595	329.690771	0.006596	1.6
195	-0.301686	329.022027	0.008819	3.7
196	-0.806032	328.356888	0.034611	2.2
197	-0.500839	327.695322	0.010749	2.4
198	-0.940294	327.037299	0.030593	2.7
199	-0.495959	326.382787	0.009076	2.7
200	-0.835832	325.731758	0.014735	2.8
201	-0.049807	325.084179	0.001987	3.2
202	-0.851194	324.440023	0.035330	2.6
203	-0.001887	323.799258	0.000646	2.9
204	-0.000594	323.161858	0.000400	2.9
205	-0.204468	322.527792	0.003060	2.2
206	-0.621381	321.897034	0.016987	4.0
207	0.000000	321.269554	0.000000	2.0
208	-0.207187	320.645325	0.003779	4.0
209	-0.520246	320.024320	0.008208	2.5
210	0.000000	319.406512	0.000000	2.7
211	-0.273196	318.791875	0.010256	3.1
212	-0.879374	318.180381	0.008005	3.1
213	-0.983146	317.572005	0.008466	1.9
214	-0.227510	316.966721	0.004066	2.3
215	-0.009365	316.364504	0.000290	2.1
216	0.000000	315.765329	0.000000	1.9
217	-0.479777	315.169170	0.010778	2.0
218	-0.765093	314.576003	0.013461	2.5
219	-0.012049	313.985804	0.001373	2.8
220	-0.680118	313.398548	0.005823	3.3
221	-0.066628	312.814213	0.003149	2.1
222	-0.000000	312.232773	0.000000	1.5
223	-0.618515	311.654207	0.015251	2.7
224	-0.668501	311.078491	0.014718	2.3
225	-0.773381	310.505602	0.033672	2.1
226	-0.000000	309.935518	0.000000	3.6
227	-0.000000	309.368217	0.000000	3.4
228	-0.771065	308.803676	0.004545	2.6
229	-0.740059	308.241874	0.005015	1.9
230	-0.594472	307.682789	0.009101	3.2
231	-0.553229	307.126400	0.007083	2.7
232	-0.570481	306.572687	0.025027	2.6
233	-0.871716	306.021627	0.030578	2.2
234	-0.655992	305.473201	0.012029	3.0
235	-0.955333	304.927388	0.021652	1.7
236	-0.801320	304.384168	0.008606	3.2
237	-0.004957	303.843521	0.000294	2.6
238	-0.735785	303.305427	0.036238	1.7
239	-0.034855	302.769867	0.001490	3.2
240	-0.849074	302.236821	0.014355	1.7
241	-0.478247	301.706270	0.004497	3.0
242	-0.488170	301.178196	0.010316	2.1
243	-0.508948	300.652580	0.007603	3.3
244	-0.369732	300.129402	0.008907	2.1
245	-0.090431	299.608645	0.003561	3.5
246	-0.159109	299.090291	0.003860	1.9
247	-0.419514	298.574321	0.007395	1.9
248	0.000000	298.060718	0.000000	2.0
249	-0.230065	297.549465	0.002232	1.8
250	-0.862543	297.040543	0.017390	3.5
251	-0.000000	296.533936	0.000000	1.8
252	-0.869669	296.029626	0.032274	4.6
253	-0.865093	295.527597	0.023725	1.8
254	-0.793944	295.027832	0.034193	2.9
255	-0.570722	294.530315	0.010295	1.7
256	-0.000000	294.035028	0.000000	2.4
257	-0.206666	293.541956	0.006858	2.9
258	-0.601779	293.051083	0.016974	1.8
259	0.000000	292.562393	0.000000	3.7
260	-0.484788	292.075870	0.012079	1.9
261	-0.284249	291.591498	0.006149	2.4
262	-0.756441	291.109263	0.013565	2.9
263	-0.000097	290.629149	0.000029	2.0
264	-0.840903	290.151140	0.006915	1.8
265	-0.615062	289.675222	0.009110	4.1
266	-0.001529	289.201380	0.000067	1.7
267	-0.586744	288.729600	0.015589	3.4
268	-0.345536	288.259866	0.005520	2.8
269	-0.536845	287.792165	0.007687	1.9
270	-0.015700	287.326481	0.001614	2.9
271	-0.869749	286.862802	0.024856	2.1
272	-0.981280	286.401113	0.023225	2.3
273	-0.000078	285.941400	0.000050	2.5
274	-0.373351	285.483649	0.006500	2.1
275	-0.000005	285.027847	0.000002	3.9
276	-1.016540	284.573981	0.032304	3.5
277	-0.450141	284.122037	0.023545	1.8
278	-0.723686	283.672002	0.012991	3.2
279	-0.788262	283.223863	0.017421	1.9
280	0.000000	282.777607	0.000000	2.6
281	-0.126822	282.333221	0.002441	4.0
282	-0.334893	281.890692	0.005744	3.2
283	-0.706942	281.450008	0.034818	1.6
284	-0.103100	281.011157	0.003593	4.5
285	-0.970056	280.574125	0.011089	2.8
286	-0.991708	280.138901	0.007598	1.6
287	-0.337218	279.705473	0.011617	2.9
288	-0.744945	279.273829	0.008357	2.3
289	-0.000000	278.843956	0.000000	1.5
290	-0.000480	278.415844	0.000064	2.3
291	-0.924363	277.989479	0.033413	2.7
292	-0.000000	277.564851	0.000000	1.5
293	0.000000	277.141949	0.000000	3.1
294	-0.008899	276.720761	0.000245	1.7
295	-0.848822	276.301275	0.032209	2.8
296	-0.953577	275.883480	0.039669	1.8
297	-0.461070	275.467366	0.004263	2.3
298	-0.879606	275.052922	0.010834	3.6
299	-0.909079	274.640136	0.027582	3.2
300	0.000000	274.228998	0.000000	2.4
301	-0.011024	273.819497	0.000149	2.7
302	-0.944746	273.411623	0.025698	2.1
303	-0.875171	273.005365	0.009857	3.1
304	-0.536753	272.600712	0.011312	3.0
305	-0.743651	272.197655	0.035384	1.9
306	-0.015481	271.796184	0.000446	2.4
307	0.000000	271.396287	0.000000	2.1
308	-0.020923	270.997956	0.001794	3.0
309	-0.461690	270.601180	0.002985	1.8
310	-0.533859	270.205949	0.008719	4.2
311	-0.870500	269.812254	0.010690	2.0
312	-0.046910	269.420085	0.002273	2.1
313	-0.664520	269.029432	0.026081	2.6
314	-0.000000	268.640287	0.000000	2.6
315	0.000000	268.252638	0.000000	1.9
316	-0.566243	267.866478	0.010984	1.8
317	-0.000000	267.481796	0.000000	2.5
318	-0.000000	267.098584	0.000000	1.8
319	-0.790987	266.716833	0.029292	2.4
320	-0.000000	266.336533	0.000000	2.7
321	-0.730007	265.957676	0.018797	1.9
322	-0.711759	265.580253	0.027785	2.2
323	-0.000000	265.204254	0.000000	1.9
324	-0.156419	264.829672	0.004137	2.7
325	-0.290588	264.456497	0.009323	2.3
326	-0.057896	264.084721	0.002795	1.6
327	-0.000000	263.714335	0.000000	3.6
328	-0.578639	263.345332	0.012658	1.9
329	-0.619450	262.977702	0.009216	2.5
330	-0.434480	262.611438	0.005840	3.4
331	-0.850226	262.246531	0.027923	2.4
332	-0.396811	261.882973	0.008320	1.9
333	-0.400755	261.520756	0.017766	2.5
334	0.000000	261.159871	0.000000	2.1
335	-0.488138	260.800312	0.004702	1.9
336	-0.000000	260.442070	0.000000	3.6
337	0.000000	260.085137	0.000000	1.5
338	-0.289000	259.729505	0.005484	2.8
339	-0.593414	259.375167	0.011823	3.5
