1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
116	-0.573897	60.185870	16.291726	0.012092	1.2
117	-0.584265	61.185870	16.093495	0.017067	1.4
118	-0.576107	62.178014	15.901533	0.008333	1.1
119	-0.588475	63.178014	15.712629	0.017464	0.9
120	-0.572157	62.671065	15.807829	0.023891	1.9
121	-0.571890	63.671065	15.621133	0.017863	1.0
122	-0.574932	63.164115	15.715224	0.017470	0.8
123	-0.576749	62.657166	15.810456	0.019719	1.9
124	-0.561860	63.657166	15.623697	0.011338	1.1
125	-0.574878	63.152249	15.717440	0.022503	0.8
126	-0.573993	62.658550	15.810194	0.017346	1.1
127	-0.562134	62.151601	15.906584	0.011291	1.6
128	-0.587940	61.644762	16.004135	0.010782	0.9
129	-0.544209	62.637894	15.814099	0.017133	2.3
130	-0.579106	63.619903	15.630577	0.018342	1.0
131	-0.565314	64.619903	15.448019	0.015595	1.2
132	-0.582858	65.619902	15.269677	0.017652	1.5
133	-0.571106	66.619902	15.095405	0.018450	0.9
134	-0.590302	67.619902	14.925066	0.018272	1.3
135	-0.584309	67.112953	15.010936	0.017047	1.8
136	-0.564625	67.080293	15.016502	0.010210	0.8
137	-0.572965	68.080293	14.847930	0.015214	1.2
138	-0.580176	67.573343	14.932912	0.012118	1.0
139	-0.542560	67.071781	15.017954	0.014035	1.3
140	-0.565771	66.605038	15.097966	0.013674	1.7
141	-0.599660	67.605038	14.927570	0.007082	1.0
142	-0.594487	67.378334	14.965862	0.021354	1.1
143	-0.580633	68.371584	14.799535	0.011951	1.2
144	-0.596374	67.864635	14.883963	0.017943	1.0
145	-0.559538	67.357746	14.969349	0.016696	0.8
146	-0.593802	68.357746	14.801827	0.011295	2.2
147	-0.572312	69.357746	14.638014	0.023500	0.9
148	-0.590641	68.850796	14.720603	0.021802	1.0
149	-0.593606	69.850796	14.558573	0.017338	1.0
150	-0.582210	70.850796	14.400070	0.017252	1.0
151	-0.597972	70.345385	14.479745	0.014912	1.2
152	-0.585470	71.345385	14.322946	0.016490	0.9
153	-0.554485	70.838435	14.402008	0.013564	1.9
154	-0.577210	70.331486	14.481949	0.016055	1.0
155	-0.563621	71.325215	14.326075	0.017073	0.8
156	-0.563502	72.325215	14.172568	0.021374	1.7
157	-0.575663	73.325215	14.022315	0.015993	1.2
158	-0.568579	74.293246	13.879871	0.019061	0.8
159	-0.558416	75.293246	13.735729	0.017473	1.2
160	-0.579698	76.293246	13.594550	0.016050	0.9
161	-0.574490	75.786297	13.665756	0.019023	0.9
162	-0.571981	75.279347	13.737712	0.012515	1.2
163	-0.593669	74.772404	13.810428	0.015920	1.0
164	-0.603694	74.265454	13.883920	0.012930	1.1
165	-0.567477	73.758505	13.958197	0.013485	0.9
166	-0.593741	74.758462	13.812439	0.019366	1.0
167	-0.573483	75.758462	13.669687	0.011624	1.0
168	-0.563714	76.758462	13.529856	0.024733	0.9
169	-0.578502	77.758462	13.392857	0.021305	1.2
170	-0.555013	78.758462	13.258604	0.013679	0.9
171	-0.566841	79.758462	13.127016	0.009897	1.0
172	-0.573100	80.333078	13.052578	0.016522	1.6
173	-0.582609	79.826802	13.118118	0.014145	0.8
174	-0.566205	80.826802	12.989291	0.023112	1.0
175	-0.593638	81.825833	12.863090	0.012253	1.0
176	-0.579689	81.381451	12.918921	0.015474	1.0
177	-0.576533	80.875714	12.983054	0.016371	1.1
178	-0.583468	81.875714	12.856853	0.016278	1.1
179	-0.555755	82.875595	12.733096	0.010834	0.9
180	-0.542989	82.368850	12.795517	0.013372	1.8
181	-0.578980	83.368850	12.672918	0.019143	1.4
182	-0.561245	83.729253	12.629307	0.010460	1.0
183	-0.548445	83.222303	12.690738	0.013367	1.3
184	-0.579867	84.221475	12.570228	0.010766	1.1
185	-0.591844	85.221456	12.451890	0.013148	0.8
