1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.699065	0.000000	76.720319	0.010583	576.3
1	-0.704581	0.000000	76.720319	0.011279	1.1
2	-0.701979	0.000000	76.720319	0.015105	1.6
3	-0.700003	1.000000	73.233032	0.016050	1.4
4	-0.682641	2.000000	70.048987	0.011606	1.0
5	-0.712806	3.000000	67.130279	0.014522	2.0
6	-0.706983	3.999875	64.445390	0.008212	0.9
7	-0.707301	4.999875	61.966710	0.011578	1.4
8	-0.704852	5.999467	59.672538	0.014583	1.2
9	-0.712349	6.999453	57.541364	0.011246	0.8
10	-0.681204	7.999453	55.557141	0.010193	1.8
11	-0.698532	8.999378	53.705338	0.013128	1.0
12	-0.679362	8.541602	54.537555	0.018383	0.8
13	-0.678196	9.541602	52.751874	0.013280	1.2
14	-0.698247	10.541602	51.079420	0.017750	1.4
15	-0.699906	11.541602	49.509755	0.020560	0.9
16	-0.679069	12.541602	48.033685	0.024689	1.3
17	-0.690082	13.541602	46.643081	0.016928	1.2
18	-0.687872	14.541602	45.330729	0.013721	0.8
19	-0.661117	15.541602	44.090205	0.014690	1.9
20	-0.651604	16.540471	42.917061	0.006877	1.1
21	-0.709824	17.540461	41.803514	0.009059	1.0
22	-0.731295	18.511533	40.776112	0.015393	1.7
23	-0.682176	18.119074	41.185195	0.018296	0.9
24	-0.694364	17.661298	41.672856	0.011971	1.4
25	-0.672892	18.661298	40.622138	0.011950	1.2
26	-0.734606	19.661298	39.623101	0.010805	0.9
27	-0.689741	20.661298	38.672024	0.012785	1.4
28	-0.724939	21.661297	37.765535	0.013327	0.9
29	-0.686702	22.657449	36.903822	0.014783	1.2
30	-0.681868	22.199672	37.294882	0.013346	1.1
31	-0.700139	23.199672	36.451101	0.008057	0.9
32	-0.688837	22.742217	36.832306	0.011699	1.7
33	-0.680792	23.737351	36.013011	0.016287	1.2
34	-0.727833	24.737351	35.225624	0.016380	0.8
35	-0.697614	25.737351	34.471930	0.014448	1.0
36	-0.735168	25.279575	34.812911	0.010606	1.5
37	-0.686541	26.279575	34.076591	0.012183	0.8
