1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.006163	627.201626	0.001927	530.1
1	-0.956061	623.504937	0.014760	3.6
2	-0.000000	619.865785	0.000000	1.3
3	-0.519862	616.282728	0.006540	2.7
4	-0.996132	612.754375	0.019514	1.9
5	-0.965180	609.279381	0.025290	2.2
6	-0.382251	605.856447	0.017278	3.1
7	-0.002425	602.484317	0.000069	1.5
8	-1.199029	599.161779	0.008834	2.8
9	-0.059362	595.887656	0.002622	2.1
10	-0.918360	592.660813	0.032260	1.8
11	-0.666316	589.480151	0.014189	2.8
12	-1.073707	586.344606	0.023325	2.0
13	-1.036444	583.253145	0.012445	3.0
14	-0.323346	580.204771	0.005469	1.5
15	-0.631802	577.198517	0.015451	2.5
16	-1.011928	574.233444	0.022858	2.0
17	-0.022747	571.308645	0.001501	1.4
18	-0.422352	568.423237	0.017032	2.8
19	-0.662707	565.576365	0.010390	2.6
20	-0.826150	562.767201	0.014341	1.4
21	-0.744906	559.994938	0.010491	3.0
22	-0.609433	557.258797	0.010530	2.9
23	-0.000000	554.558018	0.000000	1.3
24	-0.000000	551.891865	0.000000	1.9
25	-0.762906	549.259621	0.014541	1.9
26	-0.513810	546.660592	0.016737	2.7
27	-0.441437	544.094102	0.001334	2.6
28	-0.000000	541.559494	0.000000	3.0
29	-0.016165	539.056129	0.002875	2.6
30	-0.924283	536.583387	0.016274	1.8
31	-1.040513	534.140663	0.026988	3.1
32	-0.652174	531.727370	0.026474	3.1
33	-0.286339	529.342935	0.002563	2.6
34	-0.000000	526.986802	0.000000	2.8
35	-0.715730	524.658430	0.025245	1.5
36	-0.001153	522.357290	0.000280	2.2
37	-0.857889	520.082868	0.024139	1.6
38	-0.748897	517.834665	0.027322	3.1
39	-0.926643	515.612193	0.012566	2.0
40	-0.663662	513.414976	0.032372	1.9
41	-0.963204	511.242551	0.015630	3.1
42	-0.517320	509.094468	0.012783	2.8
43	-0.883888	506.970285	0.015567	3.1
44	-0.983940	504.869574	0.028552	1.6
45	-0.000000	502.791916	0.000000	2.8
46	-0.017965	500.736903	0.001005	1.5
47	-0.418532	498.704137	0.008442	3.4
48	-0.000000	496.693228	0.000000	2.0
49	-0.957405	494.703798	0.044772	2.2
50	-0.400540	492.735476	0.018599	2.4
51	-0.000000	490.787900	0.000000	1.5
52	-0.825294	488.860718	0.026423	2.8
53	-0.566625	486.953585	0.018430	2.7
54	-0.848478	485.066164	0.032060	3.2
55	-0.000000	483.198126	0.000000	1.5
56	-1.270694	481.349149	0.016775	3.1
57	-0.978372	479.518920	0.013763	1.8
58	-0.014215	477.707132	0.001825	3.0
59	-0.561951	475.913485	0.003072	2.5
60	-0.017140	474.137684	0.001373	3.0
61	-0.929897	472.379445	0.023767	2.7
62	-0.044964	470.638485	0.001976	2.5
63	-1.079424	468.914531	0.043398	2.4
64	-0.886256	467.207315	0.015715	1.9
65	-0.000000	465.516573	0.000000	1.9
66	-1.112209	463.842050	0.031214	2.0
67	-0.680805	462.183494	0.026234	2.1
68	-0.446131	460.540658	0.021242	3.2
69	-1.035517	458.913303	0.031894	2.1
70	-0.595071	457.301192	0.010795	2.1
71	-0.530471	455.704096	0.042974	2.6
