1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.000000	627.201626	0.000000	503.6
1	-0.435495	623.504937	0.012373	3.1
2	0.000000	619.865785	0.000000	1.5
3	-0.014004	616.282728	0.001323	3.5
4	-1.159164	612.754375	0.011831	1.7
5	-0.856513	609.279381	0.014528	3.1
6	-0.207080	605.856447	0.004843	1.8
7	-0.000000	602.484317	0.000000	2.9
8	-0.616939	599.161779	0.013804	3.1
9	-0.001207	595.887656	0.000358	1.5
10	-0.972366	592.660813	0.012086	3.2
11	-0.706254	589.480151	0.008887	1.6
12	-0.546253	586.344606	0.010097	3.5
13	0.000000	583.253145	0.000000	1.2
14	-0.836036	580.204771	0.015527	3.2
15	-0.700974	577.198517	0.019004	1.8
16	-0.000000	574.233444	0.000000	2.4
17	-0.863178	571.308645	0.045131	2.2
18	-0.028849	568.423237	0.002706	2.3
19	-0.001169	565.576365	0.000182	1.4
20	-0.878137	562.767201	0.027112	2.8
21	-1.104162	559.994938	0.005691	2.8
22	-0.805504	557.258797	0.009932	1.7
23	-0.974675	554.558018	0.012972	3.0
24	-0.701841	551.891865	0.014287	2.2
25	-0.735684	549.259621	0.008607	1.5
26	-0.022430	546.660592	0.001606	3.1
27	-0.000899	544.094102	0.000138	2.4
28	-0.955997	541.559494	0.024143	1.8
29	-0.273127	539.056129	0.009779	2.2
30	-0.168566	536.583387	0.005860	2.4
31	-1.324583	534.140663	0.033324	1.7
32	-0.975687	531.727370	0.043974	1.9
33	-0.705251	529.342935	0.016721	3.1
34	-0.428889	526.986802	0.010452	1.4
35	-0.510603	524.658430	0.028670	2.9
36	-0.635228	522.357290	0.026832	1.6
37	-0.000000	520.082868	0.000000	2.2
38	-0.627651	517.834665	0.007248	1.6
39	-0.584615	515.612193	0.009596	2.5
40	-0.900035	513.414976	0.045146	1.8
41	-0.841129	511.242551	0.065393	2.1
42	-0.073284	509.094468	0.002830	2.4
43	-0.925583	506.970285	0.010629	1.7
44	-0.056554	504.869574	0.003857	2.0
45	-0.703683	502.791916	0.038279	2.6
46	-0.380478	500.736903	0.004715	2.0
47	-0.490012	498.704137	0.003348	2.0
48	-0.000000	496.693228	0.000000	2.3
49	-0.856255	494.703798	0.009174	2.7
50	-0.671677	492.735476	0.034603	2.4
51	-1.081060	490.787900	0.020877	1.6
52	-0.324967	488.860718	0.002240	2.4
53	-0.382874	486.953585	0.019135	2.7
54	-0.599408	485.066164	0.036731	1.7
55	-0.529306	483.198126	0.029152	2.2
56	-0.388892	481.349149	0.006577	2.1
57	-0.837598	479.518920	0.011763	2.2
58	-0.000066	477.707132	0.000000	2.6
59	-1.083128	475.913485	0.027509	3.9
60	-0.000000	474.137684	0.000000	1.9
61	-0.575642	472.379445	0.015512	2.6
62	-0.720098	470.638485	0.026223	3.3
63	-0.602798	468.914531	0.023146	1.7
64	0.000000	467.207315	0.000000	2.2
65	-0.451060	465.516573	0.003096	2.9
66	-0.680075	463.842050	0.040649	2.6
