1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.597879	0.000000	60.924810	0.019073	582.2
1	-0.616616	0.000000	60.924810	0.017774	1.3
2	-0.622538	0.000000	60.924810	0.017547	0.8
3	-0.642020	0.000000	60.924810	0.018170	1.0
4	-0.684939	0.000000	60.924810	0.014434	1.8
5	-0.681123	0.000000	60.924810	0.014746	0.8
6	-0.674483	0.000000	60.924810	0.016831	0.9
7	-0.710525	0.000000	60.924810	0.012394	1.7
8	-0.701713	0.000000	60.924810	0.009156	0.8
9	-0.703271	0.000000	60.924810	0.011282	1.2
10	-0.696565	0.000000	60.924810	0.011553	1.2
11	-0.720622	0.000000	60.924810	0.010993	0.9
12	-0.710606	0.000000	60.924810	0.014526	1.1
13	-0.683267	1.000000	58.155500	0.010452	1.0
14	-0.746831	2.000000	55.627000	0.008518	1.0
15	-0.724972	2.372006	54.741599	0.006950	1.0
16	-0.709004	2.221738	55.095833	0.010228	1.4
17	-0.715479	2.071471	55.454679	0.012537	0.8
18	-0.738143	3.070674	53.152688	0.008023	0.9
19	-0.710770	4.070674	51.032574	0.008400	1.1
20	-0.732296	5.070672	49.075107	0.007075	1.2
21	-0.722093	6.067695	47.267453	0.009113	0.8
22	-0.712599	5.919788	47.527158	0.009181	1.4
23	-0.728834	6.919787	45.824884	0.008858	0.8
24	-0.719955	6.769608	46.072706	0.008962	1.1
25	-0.722869	7.769608	44.471271	0.008483	1.0
26	-0.736923	7.619339	44.704771	0.009591	0.8
27	-0.715600	8.603116	43.219133	0.011700	1.3
28	-0.742669	9.603079	41.806937	0.008102	1.1
29	-0.738271	10.603079	40.484062	0.009255	0.8
30	-0.705166	11.588906	39.259403	0.009092	1.6
31	-0.758729	11.438638	39.441268	0.010195	1.2
32	-0.703225	11.288370	39.624825	0.007115	0.8
33	-0.727578	11.139013	39.808970	0.006478	0.9
34	-0.704207	10.988890	39.995792	0.007801	1.0
35	-0.739240	10.891016	40.118540	0.005987	0.8
36	-0.707133	10.740748	40.308471	0.009073	1.7
37	-0.725163	11.496527	39.371008	0.009004	0.8
38	-0.747288	12.134567	38.612878	0.010396	1.2
39	-0.688065	11.984299	38.788789	0.007567	1.6
40	-0.735435	12.945336	37.690628	0.007013	0.8
41	-0.733985	12.795074	37.858210	0.008789	1.1
42	-0.734265	12.649341	38.022171	0.005612	1.6
43	-0.725793	12.499073	38.192729	0.008581	0.8
44	-0.740327	12.463254	38.233610	0.009451	1.6
45	-0.737558	13.462759	37.124741	0.009147	1.0
46	-0.717258	14.462759	36.077876	0.007720	0.8
47	-0.741967	15.461143	35.089986	0.006530	2.0
48	-0.717118	15.311850	35.234256	0.006010	1.0
49	-0.705978	15.161804	35.380453	0.012885	1.1
50	-0.776532	15.011657	35.527969	0.007125	1.5
51	-0.776830	14.866106	35.672147	0.006320	0.9
52	-0.724052	14.715839	35.822230	0.009324	1.4
53	-0.723573	14.565571	35.973583	0.007806	1.0
54	-0.762516	15.565571	34.989772	0.008564	0.9
55	-0.743111	15.415303	35.134158	0.009153	1.2
56	-0.764650	15.703956	34.857851	0.008780	1.6
57	-0.738306	15.554528	35.000342	0.010988	0.8
58	-0.775104	15.687363	34.873616	0.008705	1.0
59	-0.757677	15.537287	35.016858	0.009447	1.1
60	-0.731480	15.387019	35.161468	0.008483	0.9
61	-0.702251	15.236960	35.307073	0.009919	0.8
62	-0.774302	15.086692	35.454095	0.008074	1.9
63	-0.755758	16.047736	34.534392	0.009157	1.1
64	-0.738372	15.897467	34.675036	0.008786	0.9
65	-0.709920	15.747199	34.816831	0.010582	1.4
66	-0.775792	16.742934	33.898292	0.011249	1.0
67	-0.742085	16.592666	34.033793	0.009057	0.8
