1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.000000	627.201626	0.000000	473.2
1	-0.345350	623.504937	0.007847	2.2
2	-0.709104	619.865785	0.021281	3.0
3	-0.000000	616.282728	0.000000	2.6
4	-0.000000	612.754375	0.000000	1.7
5	-0.736541	609.279381	0.013666	3.2
6	-0.000063	605.856447	0.000007	2.9
7	-0.560849	602.484317	0.027986	1.8
8	-0.666812	599.161779	0.020637	2.8
9	-0.232520	595.887656	0.001614	1.9
10	-0.000000	592.660813	0.000000	2.1
11	-0.666938	589.480151	0.016533	2.8
12	-1.067852	586.344606	0.033725	2.5
13	-0.651003	583.253145	0.014946	3.2
14	-0.759955	580.204771	0.027811	4.0
15	-0.329138	577.198517	0.007760	2.9
16	-0.000000	574.233444	0.000000	2.2
17	-0.937926	571.308645	0.014229	4.2
18	-0.469410	568.423237	0.009624	2.1
19	-0.030129	565.576365	0.002738	3.3
20	-1.172506	562.767201	0.011204	3.3
21	-0.963296	559.994938	0.038376	3.5
22	-0.769342	557.258797	0.028475	1.9
23	-0.643419	554.558018	0.036879	3.5
24	-0.424713	551.891865	0.006208	2.7
25	-0.266429	549.259621	0.008448	2.5
26	-0.000000	546.660592	0.000000	3.1
27	-0.611942	544.094102	0.015740	2.3
28	-0.000000	541.559494	0.000000	3.4
29	-0.096176	539.056129	0.001384	2.3
30	-0.995621	536.583387	0.026821	2.1
31	-0.210879	534.140663	0.006269	2.0
32	-0.150629	531.727370	0.009162	3.1
33	-0.000000	529.342935	0.000000	1.9
34	-0.016664	526.986802	0.000742	2.4
35	-0.672260	524.658430	0.029237	3.0
36	-0.569496	522.357290	0.011861	3.0
37	-0.177327	520.082868	0.008406	2.4
38	-0.662376	517.834665	0.015971	2.4
39	-0.680825	515.612193	0.031475	2.4
40	-0.000000	513.414976	0.000000	3.0
41	-0.468989	511.242551	0.029708	1.4
42	-0.349503	509.094468	0.005456	2.4
43	-0.875676	506.970285	0.034830	1.7
44	-0.190038	504.869574	0.006274	2.9
45	-0.000000	502.791916	0.000000	1.3
46	-0.000014	500.736903	0.000003	2.7
47	-0.395775	498.704137	0.012720	3.0
48	-0.192826	496.693228	0.009803	2.1
49	-0.697191	494.703798	0.037185	2.8
50	-0.281838	492.735476	0.003341	1.7
51	-0.741674	490.787900	0.015306	2.5
52	-0.274164	488.860718	0.014873	3.8
53	-0.577343	486.953585	0.024004	2.0
54	-0.466400	485.066164	0.007406	2.6
55	-0.765910	483.198126	0.029434	2.3
56	-0.535391	481.349149	0.005834	3.0
57	-0.000000	479.518920	0.000000	2.8
58	-0.237805	477.707132	0.002579	1.9
59	-0.383369	475.913485	0.009646	2.4
60	-0.855487	474.137684	0.043022	2.1
61	-0.000000	472.379445	0.000000	1.5
62	-0.974359	470.638485	0.014518	2.5
63	-0.623492	468.914531	0.014327	1.7
64	-0.442497	467.207315	0.007109	2.9
65	-0.428885	465.516573	0.007137	2.3
66	-0.284311	463.842050	0.013058	1.7
67	-0.000000	462.183494	0.000000	2.6
68	-0.688908	460.540658	0.007277	2.0
69	-0.619859	458.913303	0.014341	2.2
70	-0.623377	457.301192	0.025079	3.0
71	-0.000141	455.704096	0.000024	2.5
72	-0.597380	454.121787	0.022022	3.1
73	-0.016845	452.554045	0.000322	1.7
74	-0.601592	451.000653	0.010361	2.8
75	-0.871680	449.461399	0.046045	1.9
76	-0.552179	447.936075	0.010976	1.7
77	-0.677997	446.424477	0.033461	2.9
78	-0.658805	444.926406	0.021636	2.6
79	-0.377658	443.441666	0.006186	3.1
80	-0.001695	441.970065	0.000178	1.4
81	-0.599971	440.511415	0.014047	3.1
82	-0.099830	439.065533	0.002402	1.5
83	-0.000002	437.632238	0.000004	3.4
84	-0.000000	436.211351	0.000000	1.3
85	-0.647037	434.802701	0.022145	2.6
86	-0.121949	433.406117	0.001716	1.6
87	-0.592213	432.021430	0.046410	2.7
88	-0.083405	430.648479	0.002662	2.6
89	-0.580849	429.287101	0.020253	3.0
90	-0.028923	427.937140	0.000901	1.3
91	-0.043702	426.598440	0.003577	3.2
92	-0.008662	425.270849	0.000098	1.7
93	-0.000000	423.954220	0.000000	2.9
94	-0.611615	422.648404	0.008877	1.6
95	-0.816700	421.353259	0.025008	2.5
96	-0.671892	420.068643	0.023639	1.7
97	-0.000000	418.794419	0.000000	1.7
98	-0.536719	417.530451	0.011026	2.0
99	-0.849010	416.276604	0.040349	2.8
100	-0.491029	415.032748	0.009420	1.7
101	-0.489751	413.798754	0.011549	2.2
102	-0.528577	412.574495	0.014126	2.2
103	-0.790654	411.359849	0.018663	1.7
104	-0.000003	410.154691	0.000003	2.7
105	-0.511616	408.958904	0.009580	2.4
106	-0.928373	407.772368	0.010180	2.1
107	-0.000000	406.594968	0.000000	1.6
108	-0.670739	405.426590	0.012511	2.5
109	-0.081052	404.267122	0.002715	1.4
110	-0.000000	403.116456	0.000000	2.8
111	-0.000000	401.974481	0.000000	1.2
112	-0.172519	400.841093	0.003170	3.1
113	-0.746380	399.716187	0.023768	1.9
114	-0.068767	398.599660	0.006354	3.2
115	-0.835150	397.491411	0.038632	2.1
116	-0.684975	396.391342	0.013132	2.3
117	-0.000182	395.299353	0.000064	2.9
118	-0.715042	394.215350	0.031281	2.2
119	-0.516044	393.139238	0.014199	2.3
120	-0.732324	392.070924	0.008824	2.1
121	-0.000000	391.010316	0.000000	3.3
122	-0.696652	389.957325	0.028112	1.8
123	-0.703012	388.911862	0.013097	2.2
124	-0.739904	387.873839	0.009079	3.0
125	-0.861178	386.843173	0.041241	3.0
126	-0.206234	385.819777	0.008357	2.6
127	-0.797296	384.803569	0.017000	3.3
128	-0.000215	383.794468	0.000087	1.9
129	-0.655978	382.792393	0.024892	2.4
130	-0.521888	381.797264	0.010377	3.6
131	-0.759499	380.809005	0.008246	2.4
132	-0.526153	379.827537	0.013746	3.0
133	-0.720241	378.852786	0.024217	3.0
134	-0.608800	377.884678	0.024712	3.2
135	-0.053416	376.923138	0.003173	3.4
136	-0.919234	375.968095	0.026178	2.4
137	-0.442567	375.019479	0.014530	2.6
138	-0.259774	374.077218	0.012296	3.9
139	-0.000000	373.141244	0.000000	1.7
140	-0.800542	372.211489	0.019391	3.5
141	-0.780372	371.287887	0.023494	2.8
142	-0.432836	370.370370	0.008525	3.0
143	-0.000935	369.458876	0.000021	3.3
144	-0.629371	368.553338	0.029691	1.7
145	-0.000000	367.653696	0.000000	2.8
146	-0.374698	366.759885	0.020431	3.0
147	-0.014176	365.871846	0.002214	3.2
148	-0.535295	364.989518	0.009127	1.8
149	-0.600742	364.112841	0.010663	3.2
150	-0.079986	363.241757	0.003854	3.9
151	-0.462171	362.376208	0.007786	2.8
152	-0.409596	361.516137	0.008497	3.4
153	-0.642707	360.661488	0.013742	3.7
154	-0.801298	359.812206	0.033408	2.5
155	-1.012145	358.968236	0.043837	3.8
156	-0.000000	358.129524	0.000000	1.8
157	-0.608574	357.296018	0.013285	3.1
158	-0.000000	356.467665	0.000000	2.4
159	-0.000000	355.644414	0.000000	2.9
160	-0.313146	354.826213	0.012456	1.7
161	-0.896234	354.013012	0.045300	2.6
162	-0.659461	353.204763	0.025007	3.3
